item_id	citation	title	authority_tier	validity	validity_note	translation_status	translation_of	quotation_qualifier	version_id	lang	source_url	retrieved	media_type	bytes	sha256
PUTTASWAMY-2017	K.S. Puttaswamy (Retd.) v. Union of India, W.P. (C) No. 494 of 2012, Supreme Court of India, 24 August 2017, (2017) 10 SCC 1	Justice K.S. Puttaswamy (Retd.) and another v. Union of India and others (privacy)	judicial	in-force		authoritative			35071_2012_Judgement_24-Aug-2017.pdf	eng	https://api.sci.gov.in/supremecourt/2012/35071/35071_2012_Judgement_24-Aug-2017.pdf	2026-09-16	application/pdf	863562	95926e8d65c66db7149b730ce7875206cb83e0903155083f122e52a055c44d39
PUTTASWAMY-2018	K.S. Puttaswamy (Retd.) v. Union of India, W.P. (C) No. 494 of 2012, Supreme Court of India, 26 September 2018, (2019) 1 SCC 1	Justice K.S. Puttaswamy (Retd.) and another v. Union of India and others (Aadhaar)	judicial	in-force		authoritative			35071_2012_Judgement_26-Sep-2018.pdf	eng	https://api.sci.gov.in/supremecourt/2012/35071/35071_2012_Judgement_26-Sep-2018.pdf	2026-09-16	application/pdf	2249473	aff8a51ae940305d42f6df06438ec653e170a3880d71790d88126514e28bec28
PUTTASWAMY-2018-SCR	Justice K.S. Puttaswamy (Retd.) v. Union of India, [2018] 8 S.C.R. — Supreme Court Reports, the official law report	Justice K.S. Puttaswamy (Retd.) v. Union of India [2018] 8 S.C.R. (official report)	judicial	in-force		authoritative			48.pdf	eng	https://cdnbbsr.s3waas.gov.in/s3ec0490f1f4972d133619a60c30f3559e/documents/aor_notice_circular/48.pdf	2026-09-16	application/pdf	1167137	624e151ebf75efcf24b6e3c20774b707017ae2d22c36a2fd3e82e5ab1ff13825
